scheme_id,scheme_name,tamil_name,government,category,scheme_type,target_group_text,description,benefit,eligibility_text,documents,application_route,official_source,is_umbrella_entry,requires_category,recommendable,priority_enabled,source_flag
TN002,Pudhumai Penn Thittam,Pudhumai Penn Thittam,Tamil Nadu,Education,PERSONAL,Eligible girls from government schools entering higher education,Scholarship-type scheme for girl students entering higher education.,Not available in source,Not available in source,Not available in source,Not available in source,Not available in source,False,False,True,True,
TN003,Tamil Pudhalvan Thittam,Tamil Pudhalvan Thittam,Tamil Nadu,Education,PERSONAL,Eligible boys from government schools entering higher education,Scholarship-type scheme for boy students entering higher education.,Not available in source,Not available in source,Not available in source,Not available in source,Not available in source,False,False,True,True,
TN004,Chief Minister's Breakfast Scheme,,Tamil Nadu,Food/Nutrition,BOTH,Government-school children in eligible classes/schools,School breakfast scheme.,Not available in source,Not available in source,Not available in source,Not available in source,Not available in source,False,False,True,True,
TN005,Puratchi Thalaivar MGR Nutritious Meal Programme,,Tamil Nadu,Food/Nutrition,BOTH,School children,School nutrition programme.,Not available in source,Not available in source,Not available in source,Not available in source,Not available in source,False,False,True,True,
TN006,Dr. Muthulakshmi Reddy Maternity Benefit Scheme,,Tamil Nadu,Women,PERSONAL,Eligible pregnant women/mothers,Maternity benefit scheme.,Not available in source,Not available in source,Not available in source,Not available in source,Not available in source,False,False,True,True,
TN007,Kalaignarin Kanavu Illam,Kalaignarin Kanavu Illam,Tamil Nadu,Housing,HOUSEHOLD,Eligible rural households,Rural housing scheme.,Not available in source,Not available in source,Not available in source,Not available in source,Not available in source,False,False,True,True,"Also listed again under 'Other current TN Rural Development schemes' in source; single scheme, deduplicated."
TN008,Chief Minister's Uzhavar Padhukappu Thittam (CMUPT),,Tamil Nadu,Agriculture/Pension,HOUSEHOLD,Farmers and agricultural labourers,Social-security scheme for farmers and agricultural labourers.,"Social-security benefits, including an old-age pension component per TN Revenue Administration Department listing.",Not available in source,Not available in source,Not available in source,Not available in source,False,False,True,True,"Source suggests this may itself be a bundle of benefits including an old-age pension component; flagged for verification, not split without confirmation."
TN009,Differently Abled Pension Scheme (TN),,Tamil Nadu,Pension,CATEGORY_SPECIFIC,Eligible persons with disabilities,State disability pension.,Not available in source,Not available in source,Not available in source,Not available in source,Not available in source,False,True,False,True,Category-specific (disability) — excluded from default recommendations.
TN010,Destitute Widow Pension (TN),,Tamil Nadu,Pension,HOUSEHOLD,Eligible destitute widows,State pension for destitute widows.,Not available in source,Not available in source,Not available in source,Not available in source,Not available in source,False,False,True,True,
TN011,Destitute/Deserted Wives Pension (TN),,Tamil Nadu,Pension,HOUSEHOLD,Eligible destitute/deserted wives,State pension for destitute/deserted wives.,Not available in source,Not available in source,Not available in source,Not available in source,Not available in source,False,False,True,True,
TN012,Poor Unmarried Women 50+ Pension (TN),,Tamil Nadu,Pension,PERSONAL,Eligible poor unmarried women aged 50+,State pension for poor unmarried women aged 50 and above.,Not available in source,Not available in source,Not available in source,Not available in source,Not available in source,False,False,True,True,
TN013,TN BC/MBC/DNC/Minority Education Schemes,,Tamil Nadu,Education,CATEGORY_SPECIFIC,BC/MBC/DNC/Minority students,"Umbrella of pre-matric scholarships, post-matric scholarships, free education schemes, hostel facilities, educational assistance, and special scholarships.",Not available in source,Not available in source,Not available in source,Not available in source,Not available in source,True,True,False,True,Umbrella/directory-only; category-specific.
TN014,TN Differently Abled Welfare Schemes,,Tamil Nadu,Disability Welfare,CATEGORY_SPECIFIC,Persons with disabilities,"Umbrella of unemployment allowance, maintenance allowance, personal assistance allowance, marriage assistance, transport concessions, welfare-board assistance, accident relief, spectacle assistance, educational assistance, maternity assistance, and CMCHIS-related benefits.",Not available in source,Not available in source,Not available in source,Not available in source,Not available in source,True,True,False,True,Umbrella/directory-only; category-specific.
TN015,TN Unorganised Workers Welfare Boards,,Tamil Nadu,Labour,HOUSEHOLD,Unorganised/construction/migrant workers,"Umbrella of construction-worker registration, inter-state migrant construction-worker registration, pension, housing, auto-rickshaw subsidy, e-scooter subsidy, educational assistance, and other welfare-board claims.",Not available in source,Not available in source,Not available in source,Not available in source,Not available in source,True,False,False,True,Umbrella/directory-only — 'More information required' for individual benefit amounts.
TN016,Anaithu Grama Anna Marumalarchi Thittam-II (AGAMT-II),Anaithu Grama Anna Marumalarchi Thittam-II,Tamil Nadu,Community Development,COMMUNITY,Village infrastructure/development,Village infrastructure/development scheme.,Not available in source,Not available in source,Not available in source,Not available in source,Not available in source,False,False,False,True,Community-level.
TN017,MLACDS,,Tamil Nadu,Community Development,COMMUNITY,Local development works,Local development works scheme.,Not available in source,Not available in source,Not available in source,Not available in source,Not available in source,False,False,False,True,Community-level.
TN018,Rural house repairs (TN),,Tamil Nadu,Housing,HOUSEHOLD,Rural households,Generic category label in source; no specific scheme name given.,Not available in source,Not available in source,Not available in source,Not available in source,Not available in source,False,False,False,True,Generic label — 'More information required'.
TN019,Mudalvarin Grama Salaigal Membattu Thittam,Mudalvarin Grama Salaigal Membattu Thittam,Tamil Nadu,Community Development,COMMUNITY,Rural roads,Rural roads scheme.,Not available in source,Not available in source,Not available in source,Not available in source,Not available in source,False,False,False,True,Community-level.
TN020,Namakku Naame Thittam,Namakku Naame Thittam,Tamil Nadu,Community Development,COMMUNITY,Community infrastructure,Community infrastructure scheme.,Not available in source,Not available in source,Not available in source,Not available in source,Not available in source,False,False,False,True,Community-level.
TN021,Child Friendly School Infrastructure Development Scheme,,Tamil Nadu,Education,COMMUNITY,School facilities,School infrastructure scheme.,Not available in source,Not available in source,Not available in source,Not available in source,Not available in source,False,False,False,True,Community-level.
TN022,School Infrastructure Development Scheme,,Tamil Nadu,Education,COMMUNITY,School infrastructure,School infrastructure scheme.,Not available in source,Not available in source,Not available in source,Not available in source,Not available in source,False,False,False,True,Community-level.
TN023,Samathuvapuram,Samathuvapuram,Tamil Nadu,Community Development,COMMUNITY,Community housing/social development,Community housing/social development scheme.,Not available in source,Not available in source,Not available in source,Not available in source,Not available in source,False,False,False,True,Community-level.
TN024,CMCHIS,,Tamil Nadu,Health,HOUSEHOLD,Eligible Tamil Nadu families,Chief Minister's Comprehensive Health Insurance Scheme.,Cashless health insurance for covered treatments.,Not available in source,Not available in source,Not available in source,Not available in source,False,False,True,True,
TN025,NEEDS,,Tamil Nadu,Business,PERSONAL,New entrepreneurs,New Entrepreneur-cum-Enterprise Development Scheme.,Not available in source,Not available in source,Not available in source,Not available in source,Not available in source,False,False,True,True,"Per source, currently operating with FY2025-26 applications/sanctions shown on official MSME portal."
TN026,UYEGP,,Tamil Nadu,Business,PERSONAL,Unemployed youth,Unemployed Youth Employment Generation Programme.,Not available in source,Not available in source,Not available in source,Not available in source,Not available in source,False,False,False,True,"Per source, currently active with FY2025-26 applications/subsidy disbursements recorded. Not scored in V1: no sourced, collectible field distinguishes 'unemployed youth' from other occupations without guessing an age band or employment-status criterion not stated in the source."
TN027,TWEES,,Tamil Nadu,Business,PERSONAL,Women entrepreneurs,Tamil Nadu Women Entrepreneurs Empowerment Scheme.,Not available in source,Not available in source,Not available in source,Not available in source,Not available in source,False,False,True,True,"Per source, currently active."
TN028,Kalaignar Kaivinai Thittam,Kalaignar Kaivinai Thittam,Tamil Nadu,Labour,PERSONAL,Artisans/craftspeople,Support scheme for artisans/craftspeople.,Not available in source,Not available in source,Not available in source,Not available in source,Not available in source,False,False,True,True,
TN029,Chief Minister's Girl Child Protection Scheme (TN),,Tamil Nadu,Women,HOUSEHOLD,Eligible families with one or two girl children,Financial deposit scheme for families with one or two girl children.,"₹50,000 for one eligible girl child, or ₹25,000 each for two eligible girl children, subject to scheme conditions, payable on completion of 18 years.",Not available in source,Not available in source,Not available in source,Not available in source,False,False,True,True,
